1506798744.718000, /muse/eeg, 822.4902, 1051.1425, 965.60345, 873.48456
1506798744.718000, /muse/eeg, 830.7151, 840.58496, 755.04596, 855.3898
1506798744.718000, /muse/acc, -97.6564, 1007.8141, 78.12512
1506798744.728000, /muse/acc, -97.6564, 1007.8141, 78.12512
1506798744.744000, /muse/acc, -97.6564, 1007.8141, 74.218864
1506798744.761000, /muse/acc, -97.6564, 1007.8141, 70.31261
1506798744.782000, /muse/eeg, 817.55524, 630.02747, 755.04596, 845.5199
1506798744.782000, /muse/eeg/quantization, 1, 128, 128, 1
1506798744.782000, /muse/eeg, 820.8452, 840.58496, 965.60345, 853.7448
1506798744.782000, /muse/eeg, 824.13513, 840.58496, 965.60345, 840.58496
1506798744.782000, /muse/eeg, 820.8452, 630.02747, 755.04596, 814.26526
1506798744.782000, /muse/eeg, 820.8452, 1051.1425, 965.60345, 834.005
1506798744.782000, /muse/eeg, 825.78015, 630.02747, 544.48846, 835.65
1506798744.782000, /muse/eeg, 807.68536, 630.02747, 544.48846, 830.7151
1506798744.782000, /muse/eeg, 807.68536, 1261.7, 1176.1609, 809.3303
1506798744.782000, /muse/eeg, 812.6203, 630.02747, 544.48846, 832.36005
1506798744.782000, /muse/eeg, 796.1705, 1051.1425, 965.60345, 825.78015
1506798744.782000, /muse/elements/alpha_relative, 0.1144245, nan, nan, 0.2388186
1506798744.783000, /muse/elements/beta_relative, 0.10554536, nan, nan, 0.14348815
1506798744.783000, /muse/elements/delta_relative, 0.57736915, nan, nan, 0.39251176
1506798744.783000, /muse/elements/gamma_relative, 0.066238895, nan, nan, 0.081016265
1506798744.783000, /muse/elements/theta_relative, 0.13642211, nan, nan, 0.14416522
1506798744.783000, /muse/elements/horseshoe, 1.0, 4.0, 4.0, 1.0
1506798744.783000, /muse/elements/is_good, 1, 0, 0, 1
1506798744.783000, /muse/elements/blink, 0
1506798744.783000, /muse/elements/jaw_clench, 1
1506798744.783000, /muse/elements/touching_forehead, 1
1506798744.783000, /muse/elements/experimental/concentration, 0.8221644
1506798744.783000, /muse/elements/experimental/mellow, 0.9167683
